date,station,PM2.5,PM10,NO2,SO2,CO,O3,O3
2023-01-09,Chennai_Alandur_2023-10-01_2023-11-30,89.41472222222222,137.5662152777778,45.37413194444445,18.80079861111111,1.0322222222222222,57.860347222222224,57.860347222222224
2023-01-09,Delhi_AnandVihar_2023-10-01_2023-11-30,494.1458333333333,685.09375,101.425,16.490972222222222,2.6266666666666665,10.863541666666665,10.863541666666665
2023-01-09,Kolkata_Victoria_2023-10-01_2023-11-30,132.9539855072464,180.02608695652177,13.791557971014493,13.93018115942029,1.2227898550724638,39.46094202898551,39.46094202898551
2023-01-09,Mumbai_Bandra_2023-10-01_2023-11-30,,,,,,,
2023-01-10,Chennai_Alandur_2023-10-01_2023-11-30,96.6770138888889,148.73489583333333,46.87767361111111,18.50809027777778,0.9282638888888889,55.07503472222222,55.07503472222222
2023-01-10,Delhi_AnandVihar_2023-10-01_2023-11-30,295.6458333333333,455.4479166666667,92.8,13.6,2.2806818181818183,9.011458333333334,9.011458333333334
2023-01-10,Kolkata_Victoria_2023-10-01_2023-11-30,109.95833333333333,159.9295138888889,13.152222222222221,14.214062499999999,1.8303472222222223,42.774722222222216,42.774722222222216
2023-01-10,Mumbai_Bandra_2023-10-01_2023-11-30,,,,,,,
2023-01-11,Chennai_Alandur_2023-10-01_2023-11-30,89.88420138888888,138.30854166666666,42.625659722222224,16.430104166666666,0.9938194444444445,61.41940972222222,61.41940972222222
2023-01-11,Delhi_AnandVihar_2023-10-01_2023-11-30,208.48958333333334,321.875,78.42291666666667,10.952430555555557,1.8920138888888889,10.078125,10.078125
