station,value,pollutant,timestamp,state,city,latitude,longitude,aqi
"Gomti Nagar, Lucknow - UPPCB",41.0,CO,29-06-2026 02:00:00,Uttar Pradesh,Lucknow,26.8467,80.9462,41.0
"Kukrail Picnic Spot-1, Lucknow - UPPCB",28.0,PM2.5,29-06-2026 02:00:00,Uttar Pradesh,Lucknow,26.8467,80.9462,28.0
"Lalbagh, Lucknow - CPCB",7.0,NH3,29-06-2026 02:00:00,Uttar Pradesh,Lucknow,26.8467,80.9462,7.0
"New Malakpet, Hyderabad - TSPCB",46.0,PM10,29-06-2026 02:00:00,Telangana,Hyderabad,17.385,78.4867,46.0
"New Malakpet, Hyderabad - TSPCB",8.0,SO2,29-06-2026 02:00:00,Telangana,Hyderabad,17.385,78.4867,8.0
"Ramachandrapuram, Hyderabad - TSPCB",32.0,PM2.5,29-06-2026 02:00:00,Telangana,Hyderabad,17.385,78.4867,32.0
"Ramachandrapuram, Hyderabad - TSPCB",56.0,PM10,29-06-2026 02:00:00,Telangana,Hyderabad,17.385,78.4867,56.0
"Ramachandrapuram, Hyderabad - TSPCB",4.0,NH3,29-06-2026 02:00:00,Telangana,Hyderabad,17.385,78.4867,4.0
"Central University, Hyderabad - TSPCB",0.0,NH3,29-06-2026 02:00:00,Telangana,Hyderabad,17.385,78.4867,0.0
"Central University, Hyderabad - TSPCB",5.0,CO,29-06-2026 02:00:00,Telangana,Hyderabad,17.385,78.4867,5.0
"Central University, Hyderabad - TSPCB",8.0,OZONE,29-06-2026 02:00:00,Telangana,Hyderabad,17.385,78.4867,8.0
"IDA Pashamylaram, Hyderabad - TSPCB",16.0,PM2.5,29-06-2026 02:00:00,Telangana,Hyderabad,17.385,78.4867,16.0
"ECIL Kapra, Hyderabad - TSPCB",32.0,PM2.5,29-06-2026 02:00:00,Telangana,Hyderabad,17.385,78.4867,32.0
"Kodungaiyur, Chennai - TNPCB",5.0,SO2,29-06-2026 02:00:00,Tamil Nadu,Chennai,13.0827,80.2707,5.0
"Velachery Res. Area, Chennai - CPCB",11.0,NO2,29-06-2026 02:00:00,Tamil Nadu,Chennai,13.0827,80.2707,11.0
"Perungudi, Chennai - TNPCB",18.0,PM10,29-06-2026 02:00:00,Tamil Nadu,Chennai,13.0827,80.2707,18.0
"Lalbagh, Lucknow - CPCB",8.0,OZONE,29-06-2026 02:00:00,Uttar Pradesh,Lucknow,26.8467,80.9462,8.0
"IITH Kandi, Hyderabad - TSPCB",28.0,OZONE,29-06-2026 02:00:00,Telangana,Hyderabad,17.385,78.4867,28.0
"Somajiguda, Hyderabad - TSPCB",45.0,PM2.5,29-06-2026 02:00:00,Telangana,Hyderabad,17.385,78.4867,45.0
"Somajiguda, Hyderabad - TSPCB",14.0,NO2,29-06-2026 02:00:00,Telangana,Hyderabad,17.385,78.4867,14.0
"ICRISAT Patancheru, Hyderabad - TSPCB",2.0,SO2,29-06-2026 02:00:00,Telangana,Hyderabad,17.385,78.4867,2.0
"ICRISAT Patancheru, Hyderabad - TSPCB",5.0,OZONE,29-06-2026 02:00:00,Telangana,Hyderabad,17.385,78.4867,5.0
"Kokapet, Hyderabad - TSPCB",11.0,NO2,29-06-2026 02:00:00,Telangana,Hyderabad,17.385,78.4867,11.0
"Kokapet, Hyderabad - TSPCB",14.0,OZONE,29-06-2026 02:00:00,Telangana,Hyderabad,17.385,78.4867,14.0
"Jadavpur, Kolkata - WBPCB",11.0,OZONE,29-06-2026 02:00:00,West Bengal,Kolkata,22.5726,88.3639,11.0
"Fort William, Kolkata - WBPCB",12.0,PM10,29-06-2026 02:00:00,West Bengal,Kolkata,22.5726,88.3639,12.0
"Fort William, Kolkata - WBPCB",5.0,SO2,29-06-2026 02:00:00,West Bengal,Kolkata,22.5726,88.3639,5.0
"Fort William, Kolkata - WBPCB",14.0,CO,29-06-2026 02:00:00,West Bengal,Kolkata,22.5726,88.3639,14.0
"Ballygunge, Kolkata - WBPCB",18.0,PM2.5,29-06-2026 02:00:00,West Bengal,Kolkata,22.5726,88.3639,18.0
"Ballygunge, Kolkata - WBPCB",19.0,NO2,29-06-2026 02:00:00,West Bengal,Kolkata,22.5726,88.3639,19.0
"Ballygunge, Kolkata - WBPCB",13.0,OZONE,29-06-2026 02:00:00,West Bengal,Kolkata,22.5726,88.3639,13.0
"Rabindra Sarobar, Kolkata - WBPCB",10.0,OZONE,29-06-2026 02:00:00,West Bengal,Kolkata,22.5726,88.3639,10.0
"Bidhannagar, Kolkata - WBPCB",8.0,SO2,29-06-2026 02:00:00,West Bengal,Kolkata,22.5726,88.3639,8.0
"Bidhannagar, Kolkata - WBPCB",42.0,CO,29-06-2026 02:00:00,West Bengal,Kolkata,22.5726,88.3639,42.0
"DRM Office Danapur, Patna - BSPCB",30.0,NO2,29-06-2026 02:00:00,Bihar,Patna,25.5941,85.1376,30.0
"Rajbansi Nagar, Patna - BSPCB",38.0,PM2.5,29-06-2026 02:00:00,Bihar,Patna,25.5941,85.1376,38.0
"Rajbansi Nagar, Patna - BSPCB",28.0,NO2,29-06-2026 02:00:00,Bihar,Patna,25.5941,85.1376,28.0
"Govt. High School Shikarpur, Patna - BSPCB",11.0,NO2,29-06-2026 02:00:00,Bihar,Patna,25.5941,85.1376,11.0
"IGSC Planetarium Complex, Patna - BSPCB",48.0,PM2.5,29-06-2026 02:00:00,Bihar,Patna,25.5941,85.1376,48.0
"IGSC Planetarium Complex, Patna - BSPCB",1.0,SO2,29-06-2026 02:00:00,Bihar,Patna,25.5941,85.1376,1.0
"Samanpura, Patna - BSPCB",4.0,NH3,29-06-2026 02:00:00,Bihar,Patna,25.5941,85.1376,4.0
"Pusa, Delhi - IITM",3.0,NO2,29-06-2026 02:00:00,Delhi,Delhi,28.6139,77.209,3.0
"IGNOU_Maidan Garhi, Delhi - DPCC",0.0,NH3,29-06-2026 02:00:00,Delhi,Delhi,28.6139,77.209,0.0
"Pusa, Delhi - IITM",3.0,NO2,29-06-2026 02:00:00,Delhi,Delhi,28.6139,77.209,3.0
"IGNOU_Maidan Garhi, Delhi - DPCC",0.0,NH3,29-06-2026 02:00:00,Delhi,Delhi,28.6139,77.209,0.0
"JNU, Delhi - DPCC",6.0,NO2,29-06-2026 02:00:00,Delhi,Delhi,28.6139,77.209,6.0
"Alipur, Delhi - DPCC",104.0,PM10,29-06-2026 02:00:00,Delhi,Delhi,28.6139,77.209,104.0
"Okhla Phase-2, Delhi - DPCC",8.0,SO2,29-06-2026 02:00:00,Delhi,Delhi,28.6139,77.209,8.0
"Rohini, Delhi - DPCC",37.0,PM2.5,29-06-2026 02:00:00,Delhi,Delhi,28.6139,77.209,37.0
"Vivek Vihar, Delhi - DPCC",112.0,PM10,29-06-2026 02:00:00,Delhi,Delhi,28.6139,77.209,112.0
"Jahangirpuri, Delhi - DPCC",80.0,PM10,29-06-2026 02:00:00,Delhi,Delhi,28.6139,77.209,80.0
"Jahangirpuri, Delhi - DPCC",2.0,NH3,29-06-2026 02:00:00,Delhi,Delhi,28.6139,77.209,2.0
"IHBAS, Dilshad Garden, Delhi - CPCB",16.0,OZONE,29-06-2026 02:00:00,Delhi,Delhi,28.6139,77.209,16.0
"Sri Aurobindo Marg, Delhi - DPCC",16.0,NO2,29-06-2026 02:00:00,Delhi,Delhi,28.6139,77.209,16.0
"Sri Aurobindo Marg, Delhi - DPCC",7.0,NH3,29-06-2026 02:00:00,Delhi,Delhi,28.6139,77.209,7.0
"Sri Aurobindo Marg, Delhi - DPCC",5.0,SO2,29-06-2026 02:00:00,Delhi,Delhi,28.6139,77.209,5.0
"Sri Aurobindo Marg, Delhi - DPCC",28.0,CO,29-06-2026 02:00:00,Delhi,Delhi,28.6139,77.209,28.0
"Najafgarh, Delhi - DPCC",28.0,PM10,29-06-2026 02:00:00,Delhi,Delhi,28.6139,77.209,28.0
"Najafgarh, Delhi - DPCC",16.0,SO2,29-06-2026 02:00:00,Delhi,Delhi,28.6139,77.209,16.0
"Wazirpur, Delhi - DPCC",23.0,NO2,29-06-2026 02:00:00,Delhi,Delhi,28.6139,77.209,23.0
"Wazirpur, Delhi - DPCC",16.0,OZONE,29-06-2026 02:00:00,Delhi,Delhi,28.6139,77.209,16.0
"Shadipur, Delhi - CPCB",35.0,NO2,29-06-2026 02:00:00,Delhi,Delhi,28.6139,77.209,35.0
"Mundka, Delhi - DPCC",5.0,OZONE,29-06-2026 02:00:00,Delhi,Delhi,28.6139,77.209,5.0
"Chandni Chowk, Delhi - IITM",27.0,NO2,29-06-2026 02:00:00,Delhi,Delhi,28.6139,77.209,27.0
"Sirifort, Delhi - CPCB",104.0,PM10,29-06-2026 02:00:00,Delhi,Delhi,28.6139,77.209,104.0
"Dr. Karni Singh Shooting Range, Delhi - DPCC",14.0,OZONE,29-06-2026 02:00:00,Delhi,Delhi,28.6139,77.209,14.0
"Anand Vihar, Delhi - DPCC",36.0,PM2.5,29-06-2026 02:00:00,Delhi,Delhi,28.6139,77.209,36.0
"Anand Vihar, Delhi - DPCC",56.0,CO,29-06-2026 02:00:00,Delhi,Delhi,28.6139,77.209,56.0
"R K Puram, Delhi - DPCC",47.0,PM2.5,29-06-2026 02:00:00,Delhi,Delhi,28.6139,77.209,47.0
"R K Puram, Delhi - DPCC",9.0,SO2,29-06-2026 02:00:00,Delhi,Delhi,28.6139,77.209,9.0
"Dwarka-Sector 8, Delhi - DPCC ",13.0,SO2,29-06-2026 02:00:00,Delhi,Delhi,28.6139,77.209,13.0
"IGI Airport (T3), Delhi - IITM",38.0,NO2,29-06-2026 02:00:00,Delhi,Delhi,28.6139,77.209,38.0
"Burari Crossing, Delhi - IITM",47.0,CO,29-06-2026 02:00:00,Delhi,Delhi,28.6139,77.209,47.0
"Aya Nagar, Delhi - IITM",32.0,CO,29-06-2026 02:00:00,Delhi,Delhi,28.6139,77.209,32.0
"North Campus, DU, Delhi - IITM",35.0,PM2.5,29-06-2026 02:00:00,Delhi,Delhi,28.6139,77.209,35.0
"North Campus, DU, Delhi - IITM",53.0,PM10,29-06-2026 02:00:00,Delhi,Delhi,28.6139,77.209,53.0
"North Campus, DU, Delhi - IITM",10.0,OZONE,29-06-2026 02:00:00,Delhi,Delhi,28.6139,77.209,10.0
"Talkatora Garden, Delhi - DPCC",42.0,PM10,29-06-2026 02:00:00,Delhi,Delhi,28.6139,77.209,42.0
"Talkatora Garden, Delhi - DPCC",28.0,CO,29-06-2026 02:00:00,Delhi,Delhi,28.6139,77.209,28.0
"Cantonment Area, Delhi - DPCC",10.0,NO2,29-06-2026 02:00:00,Delhi,Delhi,28.6139,77.209,10.0
"Cantonment Area, Delhi - DPCC",0.0,NH3,29-06-2026 02:00:00,Delhi,Delhi,28.6139,77.209,0.0
"Bawana, Delhi - DPCC",5.0,SO2,29-06-2026 02:00:00,Delhi,Delhi,28.6139,77.209,5.0
"Bawana, Delhi - DPCC",47.0,CO,29-06-2026 02:00:00,Delhi,Delhi,28.6139,77.209,47.0
"Major Dhyan Chand National Stadium, Delhi - DPCC",18.0,PM2.5,29-06-2026 02:00:00,Delhi,Delhi,28.6139,77.209,18.0
"Major Dhyan Chand National Stadium, Delhi - DPCC",90.0,PM10,29-06-2026 02:00:00,Delhi,Delhi,28.6139,77.209,90.0
"Sonia Vihar, Delhi - DPCC",6.0,SO2,29-06-2026 02:00:00,Delhi,Delhi,28.6139,77.209,6.0
"Pusa, Delhi - DPCC",5.0,NH3,29-06-2026 02:00:00,Delhi,Delhi,28.6139,77.209,5.0
"Pusa, Delhi - DPCC",8.0,SO2,29-06-2026 02:00:00,Delhi,Delhi,28.6139,77.209,8.0
