date,station,PM2.5,PM10,NO2,SO2,CO,O3,O3.1,month,dayofyear,PM2.5_sub_index,PM10_sub_index,NO2_sub_index,SO2_sub_index,CO_sub_index,O3_sub_index,AQI,AQI_category,latitude,longitude
2023-03-08,Delhi_AnandVihar_2023-10-01_2023-11-30,161.49652777777777,358.2916666666667,69.05729166666667,,1.5928030303030305,27.81145833333333,27.81145833333333,3,67,332.07873062015506,310.13765822784814,86.25146901709402,,77.83038720538721,27.81145833333333,332.07873062015506,Very Poor,28.6476,77.3158
2023-03-08,Kolkata_Victoria_2023-10-01_2023-11-30,66.22673611111111,98.24340277777776,10.799097222222224,11.03704861111111,1.3910069444444444,50.376354166666665,50.376354166666665,3,67,118.84299568965515,98.24340277777776,13.49887152777778,13.796310763888888,66.84371141975308,,118.84299568965515,Moderate,22.5448,88.3426
2023-03-08,Mumbai_Bandra_2023-10-01_2023-11-30,,,,,,,,3,67,,,,,,,,Unknown,19.0544,72.8402
2023-03-09,Chennai_Alandur_2023-10-01_2023-11-30,65.3079513888889,100.47489583333332,27.359409722222225,20.20625,1.3057291666666666,39.77232638888889,39.77232638888889,3,68,115.70645474137932,,34.19926215277778,25.2578125,62.200810185185176,39.77232638888889,115.70645474137932,Moderate,13.0012,80.2014
2023-03-09,Delhi_AnandVihar_2023-10-01_2023-11-30,61.4375,178.30208333333334,72.00729166666666,,1.5996527777777778,22.3625,22.3625,3,68,102.49353448275862,152.36178691275168,89.95787927350426,,78.20331790123457,22.3625,152.36178691275168,Moderate,28.6476,77.3158
2023-03-09,Kolkata_Victoria_2023-10-01_2023-11-30,64.67361111111111,95.56631944444445,10.580173611111112,9.221631944444445,1.3798611111111112,45.983715277777776,45.983715277777776,3,68,113.54094827586208,95.56631944444445,13.22521701388889,11.527039930555556,66.23688271604938,45.983715277777776,113.54094827586208,Moderate,22.5448,88.3426
2023-03-09,Mumbai_Bandra_2023-10-01_2023-11-30,,,,,,,,3,68,,,,,,,,Unknown,19.0544,72.8402
2023-03-10,Chennai_Alandur_2023-10-01_2023-11-30,67.40475694444444,103.6934375,27.11267361111111,23.49263888888889,1.2820833333333332,41.28284722222222,41.28284722222222,3,69,122.8645150862069,102.78959941275168,33.890842013888886,29.365798611111117,60.91342592592592,41.28284722222222,122.8645150862069,Moderate,13.0012,80.2014
2023-03-10,Delhi_AnandVihar_2023-10-01_2023-11-30,108.35416666666669,271.7604166666667,84.86770833333334,,1.765625,19.84583333333333,19.84583333333333,3,69,260.24353448275866,221.76041666666669,104.86770833333334,,87.23958333333334,19.84583333333333,260.24353448275866,Poor,28.6476,77.3158
2023-03-10,Kolkata_Victoria_2023-10-01_2023-11-30,86.5079365079365,128.07777777777778,10.97358695652174,11.05784090909091,1.5173484848484848,37.1202536231884,37.1202536231884,3,69,188.07881773399012,118.99127516778525,13.716983695652177,13.822301136363638,73.7223063973064,37.1202536231884,188.07881773399012,Moderate,22.5448,88.3426
